"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2000",20.629047,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2001",22.612898,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2002",25.150845,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2003",25.873932,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",27.776794,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",27.12648,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",21.481947,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",15.503819,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",11.522508,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",13.918281,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",16.078812,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",16.76733,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",17.804855,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",19.310276,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",17.616034,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",15.541265,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",12.783751,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",11.052631,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",9.353508,
"POL","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",8.1604424,
"POL","UNEMPEDU","TRY","PC_25_64","A","2000",4.3000002,
"POL","UNEMPEDU","TRY","PC_25_64","A","2001",5.0390348,
"POL","UNEMPEDU","TRY","PC_25_64","A","2002",6.2688022,
"POL","UNEMPEDU","TRY","PC_25_64","A","2003",6.6346765,
"POL","UNEMPEDU","TRY","PC_25_64","A","2004",6.2421885,
"POL","UNEMPEDU","TRY","PC_25_64","A","2005",6.1792607,
"POL","UNEMPEDU","TRY","PC_25_64","A","2006",5.0322461,
"POL","UNEMPEDU","TRY","PC_25_64","A","2007",3.8261998,
"POL","UNEMPEDU","TRY","PC_25_64","A","2008",3.1446016,
"POL","UNEMPEDU","TRY","PC_25_64","A","2009",3.6165907,
"POL","UNEMPEDU","TRY","PC_25_64","A","2010",4.1928926,
"POL","UNEMPEDU","TRY","PC_25_64","A","2011",4.4410024,
"POL","UNEMPEDU","TRY","PC_25_64","A","2012",4.8817148,
"POL","UNEMPEDU","TRY","PC_25_64","A","2013",5.0263405,
"POL","UNEMPEDU","TRY","PC_25_64","A","2014",4.1241164,
"POL","UNEMPEDU","TRY","PC_25_64","A","2015",3.5081029,
"POL","UNEMPEDU","TRY","PC_25_64","A","2016",2.9923322,
"POL","UNEMPEDU","TRY","PC_25_64","A","2017",2.1554067,
"POL","UNEMPEDU","TRY","PC_25_64","A","2018",1.8011655,
"POL","UNEMPEDU","TRY","PC_25_64","A","2019",1.8222451,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2000",13.851255,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2001",15.914673,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",17.765013,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",17.783504,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",17.393587,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",16.563189,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",12.743056,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",8.6975241,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",6.2980733,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",7.2461472,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",8.8906002,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",8.6709108,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",9.2982969,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",9.675704,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",8.6190825,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",7.1406136,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2016",5.8052835,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",4.6871638,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",3.6463482,
"POL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",2.9591146,
